Web Search interest: snowboard; snowboarding; Skiing; Snowshoe
Worldwide; 2004 - present

Interest over time
Week,snowboard,snowboarding,Skiing,Snowshoe
New Zealand,28,88,19,0
Italy,27,7,31,26
Germany,26,11,8,15
Iceland,24,58,15,0
Sweden,24,11,8,6
Netherlands,24,15,26,5
Poland,22,10,40,2
United Kingdom,21,60,27,4
Belgium,20,12,13,5
Australia,20,56,16,4
France,20,6,4,22
Slovenia,19,32,19,0
Hungary,18,6,14,0
Romania,17,13,3,0
Luxembourg,17,0,12,0
Estonia,16,47,9,0
Latvia,16,24,8,0
Denmark,15,10,8,0
Spain,15,6,24,6
Bulgaria,14,11,3,0
Chile,13,7,5,0
Greece,13,8,11,0
Finland,10,33,8,3
Croatia,9,11,37,0
Portugal,9,5,2,0
Lithuania,8,20,5,0
Macedonia (FYROM),8,0,11,0
Serbia,8,10,21,0
Argentina,7,4,4,0
South Korea,7,10,3,0
Hong Kong,7,12,15,0
Ireland,7,26,16,0
Cyprus,7,0,6,0
Bosnia and Herzegovina,6,0,26,0
Georgia,6,0,4,0
Lebanon,5,0,7,0
Russia,5,10,1,2
Israel,4,5,23,0
Turkey,4,2,9,0
Brazil,3,3,1,0
Ukraine,3,10,1,0
Singapore,3,11,7,0
Belarus,3,0,0,0
Uruguay,3,0,2,0
Japan,3,4,100,8
United Arab Emirates,2,9,5,0
Costa Rica,2,0,2,0
Kazakhstan,2,0,1,0
South Africa,2,13,6,0
Mexico,2,4,2,0
Iran,2,0,2,0
Peru,2,3,1,0
Venezuela,1,0,1,0
Ecuador,1,0,1,0
Morocco,1,0,1,0
Colombia,1,3,1,0
Philippines,1,5,2,0
Taiwan,1,0,8,0
Malaysia,1,3,2,0
Pakistan,1,0,1,0
China,1,2,13,0
Indonesia,1,2,1,0
India,1,3,2,1
Thailand,1,2,1,0
Dominican Republic,0,0,2,0
Egypt,0,0,1,0
Guatemala,0,0,1,0
Jersey,0,0,29,0
Kuwait,0,0,2,0
Montenegro,0,0,21,0
Macau,0,0,12,0
Malta,0,0,11,0
Nigeria,0,0,1,0
Panama,0,0,2,0
Puerto Rico,0,0,3,0
Qatar,0,0,3,0
Saudi Arabia,0,0,1,0

Top regions for snowboarding
Region,snowboard,snowboarding,Skiing,Snowshoe
Canada,47,100,27,53
New Zealand,28,88,19,0
United States,29,82,20,23
United Kingdom,21,60,27,4
Iceland,24,58,15,0
Australia,20,56,16,4
Estonia,16,47,9,0
Czech Republic,55,41,60,15
Slovakia,59,38,34,9
Finland,10,33,8,3
Slovenia,19,32,19,0
Ireland,7,26,16,0
Latvia,16,24,8,0
Norway,50,23,31,5
Switzerland,50,22,16,100
Austria,36,21,23,34
Lithuania,8,20,5,0
Netherlands,24,15,26,5
South Africa,2,13,6,0
Romania,17,13,3,0
Belgium,20,12,13,5
Hong Kong,7,12,15,0
Germany,26,11,8,15
Sweden,24,11,8,6
Croatia,9,11,37,0
Bulgaria,14,11,3,0
Singapore,3,11,7,0
Ukraine,3,10,1,0
South Korea,7,10,3,0
Denmark,15,10,8,0
Russia,5,10,1,2
Poland,22,10,40,2
Serbia,8,10,21,0
United Arab Emirates,2,9,5,0
Greece,13,8,11,0
Chile,13,7,5,0
Italy,27,7,31,26
Spain,15,6,24,6
France,20,6,4,22
Hungary,18,6,14,0
Portugal,9,5,2,0
Israel,4,5,23,0
Philippines,1,5,2,0
Japan,3,4,100,8
Argentina,7,4,4,0
Mexico,2,4,2,0
Malaysia,1,3,2,0
Colombia,1,3,1,0
Peru,2,3,1,0
Brazil,3,3,1,0
India,1,3,2,1
Indonesia,1,2,1,0
China,1,2,13,0
Turkey,4,2,9,0
Thailand,1,2,1,0
Andorra,100,0,95,0
Bosnia and Herzegovina,6,0,26,0
Belarus,3,0,0,0
Costa Rica,2,0,2,0
Cyprus,7,0,6,0
Dominican Republic,0,0,2,0
Ecuador,1,0,1,0
Egypt,0,0,1,0
Georgia,6,0,4,0
Guatemala,0,0,1,0
Iran,2,0,2,0
Jersey,0,0,29,0
Kuwait,0,0,2,0
Kazakhstan,2,0,1,0
Lebanon,5,0,7,0
Luxembourg,17,0,12,0
Morocco,1,0,1,0
Montenegro,0,0,21,0
Macedonia (FYROM),8,0,11,0
Macau,0,0,12,0
Malta,0,0,11,0
Nigeria,0,0,1,0
Panama,0,0,2,0
Pakistan,1,0,1,0
Puerto Rico,0,0,3,0
Qatar,0,0,3,0
Saudi Arabia,0,0,1,0
Taiwan,1,0,8,0
Uruguay,3,0,2,0
Venezuela,1,0,1,0

Top regions for Skiing
Region,snowboard,snowboarding,Skiing,Snowshoe
Japan,3,4,100,8
Andorra,100,0,95,0
Czech Republic,55,41,60,15
Poland,22,10,40,2
Croatia,9,11,37,0
Slovakia,59,38,34,9
Norway,50,23,31,5
Italy,27,7,31,26
Jersey,0,0,29,0
Canada,47,100,27,53
United Kingdom,21,60,27,4
Bosnia and Herzegovina,6,0,26,0
Netherlands,24,15,26,5
Spain,15,6,24,6
Israel,4,5,23,0
Austria,36,21,23,34
Montenegro,0,0,21,0
Serbia,8,10,21,0
United States,29,82,20,23
Slovenia,19,32,19,0
New Zealand,28,88,19,0
Switzerland,50,22,16,100
Australia,20,56,16,4
Ireland,7,26,16,0
Hong Kong,7,12,15,0
Iceland,24,58,15,0
Hungary,18,6,14,0
Belgium,20,12,13,5
China,1,2,13,0
Macau,0,0,12,0
Luxembourg,17,0,12,0
Malta,0,0,11,0
Macedonia (FYROM),8,0,11,0
Greece,13,8,11,0
Estonia,16,47,9,0
Turkey,4,2,9,0
Finland,10,33,8,3
Taiwan,1,0,8,0
Germany,26,11,8,15
Denmark,15,10,8,0
Sweden,24,11,8,6
Latvia,16,24,8,0
Lebanon,5,0,7,0
Singapore,3,11,7,0
Cyprus,7,0,6,0
South Africa,2,13,6,0
United Arab Emirates,2,9,5,0
Chile,13,7,5,0
Lithuania,8,20,5,0
Georgia,6,0,4,0
Argentina,7,4,4,0
France,20,6,4,22
Bulgaria,14,11,3,0
Qatar,0,0,3,0
Romania,17,13,3,0
South Korea,7,10,3,0
Puerto Rico,0,0,3,0
Panama,0,0,2,0
Portugal,9,5,2,0
Kuwait,0,0,2,0
Malaysia,1,3,2,0
Dominican Republic,0,0,2,0
Costa Rica,2,0,2,0
Philippines,1,5,2,0
Mexico,2,4,2,0
Iran,2,0,2,0
Uruguay,3,0,2,0
India,1,3,2,1
Russia,5,10,1,2
Nigeria,0,0,1,0
Guatemala,0,0,1,0
Ecuador,1,0,1,0
Kazakhstan,2,0,1,0
Venezuela,1,0,1,0
Pakistan,1,0,1,0
Colombia,1,3,1,0
Peru,2,3,1,0
Ukraine,3,10,1,0
Thailand,1,2,1,0
Brazil,3,3,1,0
Egypt,0,0,1,0
Saudi Arabia,0,0,1,0
Morocco,1,0,1,0
Indonesia,1,2,1,0
Belarus,3,0,0,0

Top regions for Snowshoe
Region,snowboard,snowboarding,Skiing,Snowshoe
Switzerland,50,22,16,100
Canada,47,100,27,53
Austria,36,21,23,34
Italy,27,7,31,26
United States,29,82,20,23
France,20,6,4,22
Germany,26,11,8,15
Czech Republic,55,41,60,15
Slovakia,59,38,34,9
Japan,3,4,100,8
Spain,15,6,24,6
Sweden,24,11,8,6
Belgium,20,12,13,5
Norway,50,23,31,5
Netherlands,24,15,26,5
United Kingdom,21,60,27,4
Australia,20,56,16,4
Finland,10,33,8,3
Russia,5,10,1,2
Poland,22,10,40,2
India,1,3,2,1
Andorra,100,0,95,0
United Arab Emirates,2,9,5,0
Argentina,7,4,4,0
Bosnia and Herzegovina,6,0,26,0
Bulgaria,14,11,3,0
Brazil,3,3,1,0
Belarus,3,0,0,0
Chile,13,7,5,0
China,1,2,13,0
Colombia,1,3,1,0
Costa Rica,2,0,2,0
Cyprus,7,0,6,0
Denmark,15,10,8,0
Dominican Republic,0,0,2,0
Ecuador,1,0,1,0
Estonia,16,47,9,0
Egypt,0,0,1,0
Georgia,6,0,4,0
Greece,13,8,11,0
Guatemala,0,0,1,0
Hong Kong,7,12,15,0
Croatia,9,11,37,0
Hungary,18,6,14,0
Indonesia,1,2,1,0
Ireland,7,26,16,0
Israel,4,5,23,0
Iran,2,0,2,0
Iceland,24,58,15,0
Jersey,0,0,29,0
South Korea,7,10,3,0
Kuwait,0,0,2,0
Kazakhstan,2,0,1,0
Lebanon,5,0,7,0
Lithuania,8,20,5,0
Luxembourg,17,0,12,0
Latvia,16,24,8,0
Morocco,1,0,1,0
Montenegro,0,0,21,0
Macedonia (FYROM),8,0,11,0
Macau,0,0,12,0
Malta,0,0,11,0
Mexico,2,4,2,0
Malaysia,1,3,2,0
Nigeria,0,0,1,0
New Zealand,28,88,19,0
Panama,0,0,2,0
Peru,2,3,1,0
Philippines,1,5,2,0
Pakistan,1,0,1,0
Puerto Rico,0,0,3,0
Portugal,9,5,2,0
Qatar,0,0,3,0
Romania,17,13,3,0
Serbia,8,10,21,0
Saudi Arabia,0,0,1,0
Singapore,3,11,7,0
Slovenia,19,32,19,0
Thailand,1,2,1,0
Turkey,4,2,9,0
Taiwan,1,0,8,0
Ukraine,3,10,1,0
Uruguay,3,0,2,0
Venezuela,1,0,1,0
South Africa,2,13,6,0


Top cities for snowboard
Town/City,snowboard
Denver (United States),100
Vancouver (Canada),97
Salt Lake City (United States),95
Oslo (Norway),86
Calgary (Canada),86
Zurich (Switzerland),85
Bratislava (Slovakia),79
Edmonton (Canada),77
Prague (Czech Republic),76
Seattle (United States),72
Montréal (Canada),59
Toronto (Canada),52
Munich (Germany),51
San Diego (United States),49
San Francisco (United States),49

Top cities for snowboarding
Town/City,snowboarding
Salt Lake City (United States),100
Denver (United States),84
Calgary (Canada),72
Vancouver (Canada),69
Edmonton (Canada),64
Portland (United States),62
Seattle (United States),61
Winnipeg (Canada),56
Minneapolis (United States),47
San Diego (United States),46
Auckland (New Zealand),46
Toronto (Canada),44
San Francisco (United States),41
Los Angeles (United States),39
Boston (United States),37

Top cities for Skiing
Town/City,Skiing
Shibuya (Japan),100
Minato (Japan),87
Prague (Czech Republic),83
Cracow (Poland),73
Osaka (Japan),69
Denver (United States),60
Calgary (Canada),55
Warsaw (Poland),54
Milan (Italy),51
Zagreb (Croatia),51
Madrid (Spain),42
Seattle (United States),39
London (United Kingdom),38
Toronto (Canada),36
Amsterdam (Netherlands),35

Top cities for Snowshoe
Town/City,Snowshoe
Bern (Switzerland),100
Zurich (Switzerland),99
Quebec City (Canada),88
Annecy (France),85
Vancouver (Canada),84
Denver (United States),80
Salt Lake City (United States),61
Calgary (Canada),61
Montréal (Canada),58
Seattle (United States),56
Ottawa (Canada),54
Portland (United States),51
Turin (Italy),46
Minneapolis (United States),34
Edmonton (Canada),34



Top searches for snowboard
burton,100
burton snowboard,100
snowboards,65
snowboard boots,50
snowboarding,45
snowboard shop,40
how to snowboard,40
snowboard bindings,30
snowboard jacket,25
snowboard pants,25
snowboard review,25
ride snowboard,25
snowboard size,25
snowboard online,25
snowboard sale,20
snowboard jackets,20
downhill snowboard,20
snowboard gear,20
snowboard forum,20
k2 snowboard,20
k2,20
snowboard games,15
dc snowboard,15
video snowboard,15
nitro,15
nitro snowboard,15
burton snowboards,15
salomon snowboard,15
salomon,15
snowboard goggles,15
cheap snowboard,10
snowboard game,10
snowboard reviews,10
flow snowboard,10
snowboard kids,10
snowboard canada,10
snowboard clothing,10
snowboard shops,10
freestyle snowboard,10
snowboard helmet,10
snowboard wax,10
burton snowboard boots,10
snowboard sizing,10
rome snowboard,10
snow board,10
rossignol snowboard,10
snowboard bag,10
snowboard brands,10
snowboard helmets,5
sierra snowboard,5


Top searches for snowboarding
snowboard,100
shaun white,60
shaun white snowboarding,55
snowboarding games,45
snowboarding gear,35
burton snowboarding,35
transworld snowboarding,30
transworld,30
snowboarding jackets,25
snowboards,25
skiing,25
how to snowboarding,25
snowboarding game,25
snowboarding boots,20
snowboarding pants,20
snowboarding jacket,20
olympics snowboarding,15
nike snowboarding,15
snowboarding video,15
olympic snowboarding,15
snowboarding goggles,15
snowboarding videos,10
womens snowboarding,10
snowboarding clothing,10
snowboarding tips,10
forum snowboarding,10
colorado snowboarding,10
snowboarding pictures,10
us snowboarding,10
snowboarding holidays,10
dc snowboarding,10
snow boarding,10
snowboarding lessons,10
how to snowboard,10
snowboarding gloves,10
snowboarding history,5
extreme snowboarding,5
snowboarding movie,5
snowboarder,5
snowboarding tricks,5
ride snowboarding,5
snowboarding helmet,5
snowboarding games online,5
snowboarding helmets,5
snowboarding equipment,5
snowboarding movies,5
snowboarding clothes,5
k2 snowboarding,5
snowboarding wallpaper,5
snowboarding music,5


Top searches for Skiing
ski,100
skiing,100
スキー,90
スキー場,35
esqui,15
apres ski,10
sking,10
滑雪,10
cross country skiing,5
kayak,5
sciare,5
snow skiing,5
water skiing,5
スキーツアー,5
スキーウェア,5
alpine skiing,5
ski stunt,5
ski slope,5
warunki narciarskie,0
ski simulator,0
סקי,0
skijanje,0
ski free,0
spyder,0
ski accident,0
spyder ski,0
indoor ski,0
ski stunt simulator,0
apres ski hits,0
スキージャンプ,0
スキー板,0
スキー場天気,0
skiier,0
downhill skiing,0
stoki narciarskie,0
skoki narciarskie,0
ski game,0
estaciones de esqui,0
nordic skiing,0
ski games,0
schifahren,0
スキーブーツ,0
freestyle skiing,0
skiing holiday,0
skiing games,0
白馬,0
freestyle ski,0
indoor skiing,0
軽井沢スキー,0
heli skiing,0


Top searches for Snowshoe
snowshoes,100
snowshoe,80
snowshoeing,55
raquette,45
snow shoes,45
raquettes,35
ciaspole,35
schneeschuhe,30
snow shoe,25
schneeschuhwandern,20
tubbs,15
msr,15
raquette neige,15
schneeschuh,10
snow shoeing,10
tubbs snowshoes,10
tsl,10
raquettes neige,10
スノーシュー,10
atlas snowshoes,10
msr snowshoes,10
snow boots,5
raquetas nieve,5
snowshoe rental,5
snowshoe hare,5
raquetas de nieve,5
schneeschuhtouren,5
raquettes à neige,5
frozen snowshoe,5
randonnée raquette,5
raquette à neige,5
raquette de neige,5
snowshoe rabbit,5
schneeschuhlaufen,5
best snowshoes,5
snowshoe rentals,5
how to snowshoe,5
かんじき,5
the frozen snowshoe,5
test schneeschuhe,5
rando raquette,5
snowshoes reviews,5
rei snowshoes,5
raquette a neige,5
sentier raquette,5
raquettes de neige,5
yukon snowshoes,5
snowshoes for sale,5
atlas snowshoe,5
sneeuwschoenen,0



Rising searches for snowboard
downhill snowboard,+3,250%
snowboard size,+150%
snowboard jacket,+90%
dc snowboard,+80%
snowboard jackets,+70%
snowboard pants,+70%
snowboard games,+50%
snowboard goggles,+50%
how to snowboard,+40%
snowboard sale,+40%


Rising searches for snowboarding
nike snowboarding,Breakout
shaun white snowboarding,+2,400%
shaun white,+2,050%
olympics snowboarding,+450%
olympic snowboarding,+300%
snowboarding gear,+120%
snowboarding jackets,+80%
snowboarding jacket,+70%
snowboarding pants,+60%
how to snowboarding,+50%


Rising searches for Skiing
kayak,+400%
ski accident,+350%
warunki narciarskie,+140%
apres ski hits,+120%
スキーウェア,+100%
apres ski,+90%
skijanje,+80%
スキー場天気,+70%
סקי,+50%
alpine skiing,+40%


Rising searches for Snowshoe
frozen snowshoe,Breakout
raquetas de nieve,Breakout
ciaspole,+250%
snow boots,+190%
schneeschuhwandern,+180%
raquetas nieve,+170%
raquette,+70%
raquette neige,+50%
schneeschuhe,+50%
snowshoe rental,+40%



